#CODE;UKRAINIAN;x
focus_ch_struggle;Struggle;x
focus_ch_struggle_title;Struggle;x
focus_ch_struggle_desc;[This.GetTitledFirstName] is very loosely tutored, chiefly being left to [This.GetHerHis] own devices and competing with other children. Common trait outcomes for this Focus are §YRowdy§! and §YWillful§!.;x
focus_ch_heritage;Heritage;x
focus_ch_heritage_title;Heritage;x
focus_ch_heritage_desc;[This.GetTitledFirstName] is tutored by various courtiers and family members, focusing on assimilating §Y[This.Educator.Culture.GetName]§! culture and the §Y[This.Educator.Religion.GetName]§! faith. No specific traits are associated with this Focus.;x
focus_ed_diplomacy;Diplomacy;x
focus_ed_diplomacy_title;Diplomatic Education;x
focus_ed_diplomacy_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of diplomacy and statesmanship.\n§GAffectionate§! and §GCurious§! children will do better with this education, while §RWillful§! and §RFussy§! children will be hampered.;x
focus_ed_martial;Martial;x
focus_ed_martial_title;Martial Education;x
focus_ed_martial_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of military strategy and war.\n§GRowdy§! and §GWillful§! children will do better with this education, while §RTimid§! children and §RIdolizers§! will be hampered.;x
focus_ed_stewardship;Stewardship;x
focus_ed_stewardship_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on bookkeeping and administration.\n§GBrooding§! and §GConscientious§! children will do better with this education, while §RIndolent§! and §RHaughty§! children will be hampered.;x
focus_ed_stewardship_title;Stewardship Education;x
focus_ed_intrigue;Intrigue;x
focus_ed_intrigue_title;Intrigue Education;x
focus_ed_intrigue_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of intrigue and acting in the shadows.\n§GPlayful§! and §GFussy§! children will do better with this education, while §RRowdy§! and §RAffectionate§! children will be hampered.;x
focus_ed_learning;Learning;x
focus_ed_learning_title;Learning Education;x
focus_ed_learning_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on learning, philosophy and religion.\n§GTimid§! children and §GIdolizers§! will do better with this education, while §RBrooding§! and §RPlayful§! children will be hampered.;x
INSULT_USELESS;useless;x # male female
INSULT_SNEAK;sneak;x # male female child
silence_is_golden;Silence is Golden;x
silence_is_golden_desc;This character wisely chose to keep quiet.;x
EVTDESCA_ZE_12000;I've come across [haughty_events_char_1.GetTitledFirstNameWithNick] kissing one of the servant folk in a hallway.;x
EVTOPTA_ZE_12000;It's inappropriate, and I will tell [haughty_events_char_1.GetHerHim]!;x
EVTOPTB_ZE_12000;It's our secret, right?;x
EVTDESCB_ZE_12000;Walking across the yard, I see [haughty_events_char_1.GetTitledFirstName] angrily beating a dog with a heavy stick.;x
EVTDESCC_ZE_12000;Walking outside, I come upon some commoners along the road. One of them calls out, saying I look lovely today.;x
EVTOPTE_ZE_12000;I'll see him punished for addressing me like that!;x
EVTOPTF_ZE_12000;I'll nod and accept the compliment graciously.;x
EVTOPTE_ZE_12000_TOOLTIP1;Peasants get angry.;x
EVTOPTE_ZE_12000_TOOLTIP2;Peasants are subdued.;x
EVTOPTC_ZE_12000;I'll pick up a stick and beat him instead!;x
EVTOPTD_ZE_12000;I think I'll join in!;x
EVTDESCA_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, the wretched child [From.GetFirstName] comes upon us and promptly starts chiding me about morals!;x
EVTDESCB_ZE_12002;As I'm spending a pleasant moment alone with the attractive cook, young [From.GetFirstName] comes upon us. However, [From.GetSheHe] only winks in complicity and sneaks away.;x
EVTOPTA_ZE_12002;I'll catch the brat and give [From.GetHerHim] a good hiding!;x
EVTOPTB_ZE_12002;It doesn't matter.;x
#EVTOPTC_ZE_12002;I should bring [FRom.GetHerHim] soime candy later.;x
EVTDESCA_ZE_12004;[From.GetTitledFirstName] didn't take kindly to my chiding. [From.GetSheHeCap] caught me and gave me a good beating.;x
EVTOPTA_ZE_12004;The [GetRootFromInsult]! I will tell everyone!;x
EVTOPTB_ZE_12004;I'll hide so [From.GetSheHe] doesn't find me again.;x
EVTDESCA_ZE_12006;[From.GetFirstName], the [GetRootFromInsult], went around and told everyone lies about me, as childish revenge for the deserved beating I gave [From.GetHerHim].;x
EVTDESCB_ZE_12006;As I turned, the dog bit me in the ankle and [From.GetFirstName] managed to get away, but has since been skulking around eyeing me with hatred.;x
EVTDESCC_ZE_12002;As I'm beating a rabid dog in the yard, the little cur [From.GetFirstName] runs up and starts hitting me with a stick.;x
EVTDESCD_ZE_12002;As I'm beating a rabid dog in the yard, little [From.GetFirstName] runs up and joins in the beating.;x
EVTOPTD_ZE_12002;I'll show the [GetRootFromInsult]!;x
EVTOPTE_ZE_12002;How weak, how adorable.;x
EVTOPTF_ZE_12002;There's room for everyone.;x
EVTDESCB_ZE_12004;As I hit [From.GetHerHim], [From.GetTitledFirstName] turned [From.GetHerHis] anger on me but I managed to escape as the dog bit [From.GetHerHim] in the ankle.;x
EVTOPTC_ZE_12004;[From.GetSheHeCap] will find I am a fierce enemy!;x
EVTOPTD_ZE_12004;Now, where are my toys...?;x
opinion_complicity;Complicity;x
opinion_contempt;Contempt;x
EVTDESCC_ZE_12004;My treatment of that uppity peasant had the unfortunate effect of making more of them angry.;x
EVTDESCD_ZE_12004;My treatment of that uppity peasant really put him and the others in their place.;x
EVTOPTE_ZE_12004;We'll deal with them as they deserve.;x
EVTOPTF_ZE_12004;I know how to handle these things.;x
EVTDESCA_ZE_13001;I am practically an adult now, and people had better listen to me if they know what's good for them.;x
EVTDESCB_ZE_13001;Rules are for the weak. I know what I want.;x
EVTDESCC_ZE_13001;I know my worth, and people had better not stand in my way.;x
EVTOPTA_ZE_13001;I shall bow to no one.;x
EVTOPTB_ZE_13001;And I know where to get it.;x
EVTOPTC_ZE_13001;If they protest I will crush them.;x
EVTDESCA_ZE_13002;Young [From.GetFirstName] is showing strong tendencies towards prideful behavior.;x
EVTDESCB_ZE_13002;Young [From.GetFirstName] is developing an arbitrary streak. It's showing more clearly every day.;x
EVTDESCC_ZE_13002;Young [From.GetFirstName] is showing much petty cruelty towards others.;x
EVTOPTA_ZE_13002;[From.GetSheHeCap] should show more ambition.;x
EVTOPTB_ZE_13002;It's fine, I don't need more competition.;x
haughty_may_become_ambitious;Chance of [From.GetFirstName] becoming Ambitious.;x
EVTDESCA_ZE_13004;[From.GetTitledFirstName] disapproves of my tendencies towards pride and has told me that I should show more ambition.;x
EVTDESCB_ZE_13004;[From.GetTitledFirstName] disapproves of my tendencies towards arbitrariness and has told me that I should show more ambition.;x
EVTDESCC_ZE_13004;[From.GetTitledFirstName] disapproves of my tendencies towards cruelty and has told me that I should show more ambition.;x
EVTOPTA_ZE_13004;[From.GetSheHeCap] is right - I am destined for greatness.;x
EVTOPTB_ZE_13004;[From.GetSheHeCap] can't tell me what to do!;x
EVTOPTC_ZE_13004;Yes, [From.GetTitledFirstName]'.;x
EVTOPTD_ZE_13004;[From.GetSheHeCap]'ll be lucky if I don't poison [From.GetHerHis] food.;x
EVTDESCA_ZE_13011;I find that it brings me great joy to bring joy to others.;x
EVTDESCB_ZE_13011;I get on well with others, while some people only chase ambitions and get into needless conflicts.;x
EVTDESCC_ZE_13011;I have learned that most people are kind, and it brings no benefit to walk with mistrust and suspicion.;x
EVTOPTA_ZE_13011;Kindness binds us all together.;x
EVTOPTB_ZE_13011;I have what I need right here.;x
EVTOPTC_ZE_13011;Why would anyone want to harm me?;x
EVTDESCA_ZE_13012;Young [From.GetFirstName] is developing a kind disposition towards others.;x
EVTDESCB_ZE_13012;Young [From.GetFirstName] is very easily satisfied and obviously lacking in ambition.;x
EVTDESCC_ZE_13012;Young [From.GetFirstName] seems to trust everyone, lacking any notion of the evil in man.;x
EVTOPTA_ZE_13012;[From.GetSheHeCap] should be more charitable.;x
EVTOPTB_ZE_13012;[From.GetSheHeCap] can only be [From.GetHerselfHimself].;x
affectionate_may_become_charitable;Chance of [From.GetFirstName] becoming Charitable.;x
EVTDESCA_ZE_13014;[From.GetTitledFirstName] says [From.GetSheHe] appreciates my kind disposition but thinks I could do even more to help others.;x
EVTDESCB_ZE_13014;[From.GetTitledFirstName] says [From.GetSheHe] thinks I am being too passive and would like me to do more to help others in need.;x
EVTDESCC_ZE_13014;[From.GetTitledFirstName] would like me to be less naive and make more efforts to actually help others.;x
EVTOPTA_ZE_13014;[From.GetSheHeCap] is right, I should do more.;x
EVTOPTB_ZE_13014;I will try.;x
EVTOPTC_ZE_13014;I help when I can, but rarely see a need.;x
EVTOPTD_ZE_13014;But the [Root.TopLiege.GetTitle] provides for all, surely?;x
EVTDESCA_ZE_13021;As I keep getting older, I find that humility comes naturally to me.;x
EVTDESCB_ZE_13021;I've always felt more comfortable being silent and letting others talk.;x
EVTDESCC_ZE_13021;As I learn more about life, I find it is generally wise to stay out of danger as much as possible.;x
EVTOPTA_ZE_13021;I should avoid the dangers of pride.;x
EVTOPTB_ZE_13021;There is no need to be noisy.;x
EVTOPTC_ZE_13021;Only the foolish take risks.;x
EVTDESCA_ZE_13022;Young [From.GetFirstName] is developing a demeanor of natural humility.;x
EVTDESCB_ZE_13022;I have observed that young [From.GetFirstName] usually tries to stay out of the way of others.;x
EVTDESCC_ZE_13022;Young [From.GetFirstName] seems to constantly avoid taking any risks.;x
EVTOPTA_ZE_13022;[From.GetSheHeCap] shouldn't try so hard.;x
EVTOPTB_ZE_13022;All is as it should be.;x
timid_may_become_content;Chance of [From.GetFirstName] becoming Content.;x
EVTDESCA_ZE_13024;[From.GetTitledFirstName] says I shouldn't try so hard to be humble but instead just be myself.;x
EVTDESCB_ZE_13024;[From.GetTitledFirstName] says I am too shy and should try to relax more and just be myself among people.;x
EVTDESCC_ZE_13024;[From.GetTitledFirstName] says I am too fearful and should try to relax more and just be myself;x
EVTOPTA_ZE_13024;[From.GetSheHeCap] is right, I should let go of it.;x
EVTOPTB_ZE_13024;I'm not trying, it's who I am.;x
EVTOPTC_ZE_13024;I'd rather be myself by myself.;x
EVTOPTD_ZE_13024;There is nothing wrong with being cautious.;x
EVTDESCA_ZE_13031;I like to climb, wrestle and run - and as I grow older I am beginning to notice that I am physically stronger than others.;x
EVTDESCB_ZE_13031;I like to play hard and talk straight. I have no time for nonsense.;x
EVTDESCC_ZE_13031;Playing outside and scratching my knees has taught me to act quickly without unnecessary pause for thinking.;x
EVTOPTA_ZE_13031;It feels good to be strong!;x
EVTOPTB_ZE_13031;I will always speak my mind.;x
EVTOPTC_ZE_13031;Thinking was never my strong side anyway!;x
EVTDESCA_ZE_13032;Young [From.GetFirstName] loves physical games and is developing a strong physique.;x
EVTDESCB_ZE_13032;Young [From.GetFirstName] plays hard and talks straight.;x
EVTDESCC_ZE_13032;Young [From.GetFirstName] is showing tendencies to be more of a doer than a thinker. Yes, that would be a kind way to describe it...;x
EVTOPTA_ZE_13032;I should focus on teaching [From.GetHerHim] bravery.;x
EVTOPTB_ZE_13032;[From.GetSheHeCap] should do [From.GetHerHis] own thing.;x
rowdy_may_become_brave;Chance of [From.GetFirstName] becoming Brave.;x
EVTDESCA_ZE_13034;[From.GetTitledFirstName] sees that I am growing stronger but tries to encourage me to be more courageous.;x
EVTDESCB_ZE_13034;[From.GetTitledFirstName] appreciates my honest ways but tries to encourage me to be more courageous.;x
EVTDESCC_ZE_13034;[From.GetTitledFirstName] says I need to put more thought into my actions, but without compromising my physical courage.;x
EVTOPTA_ZE_13034;Yes, I want to be brave like [From.GetHerHim]!;x
EVTOPTB_ZE_13034;My strength is all I need.;x
EVTOPTC_ZE_13034;Honestly, I don't care.;x
EVTOPTD_ZE_13034;I don't even know what that means.;x
EVTDESCA_ZE_13041;I've read about the great [Root.GetMenWomen] in history, and someday I want to be like them.;x
EVTDESCB_ZE_13041;I know what I can do and have no reason to be afraid of anything.;x
EVTDESCC_ZE_13041;I've learned that if I put my mind to something I will usually get it.;x
EVTOPTA_ZE_13041;I will be the greatest.;x
EVTOPTB_ZE_13041;What is there to fear? Nothing.;x
EVTOPTC_ZE_13041;I was just born stubborn.;x
EVTDESCA_ZE_13042;[From.GetFirstName] is developing into an ambitious young [From.GetManWoman].;x
EVTDESCB_ZE_13042;Young [From.GetFirstName] is more and more becoming known for [From.GetHerHis] great bravery.;x
EVTDESCC_ZE_13042;Young [From.GetFirstName] is developing a stubborn streak.;x
EVTOPTA_ZE_13042;I should teach [From.GetHerHim] to be more proud instead.;x
EVTOPTB_ZE_13042;[From.GetSheHeCap] could never be like me anyway.;x
willful_may_become_proud;Chance of [From.GetFirstName] becoming Proud.;x
EVTDESCA_ZE_13044;[From.GetTitledFirstName] says that my ambition is good but [From.GetSheHe] thinks I should be more proud of what I have.;x
EVTDESCB_ZE_13044;[From.GetTitledFirstName] approves of my bravery but thinks I should be more proud of my achievements.;x
EVTDESCC_ZE_13044;[From.GetTitledFirstName] thinks I should be proud of what I have but try to be less stubborn.;x
EVTOPTA_ZE_13044;[From.GetSheHeCap] is right, I should be proud!;x
EVTOPTB_ZE_13044;But I don't have enough!;x
EVTOPTC_ZE_13044;I have nothing yet, but [Root.GetSheHe] who dares wins!;x
EVTOPTD_ZE_13044;I'll decide for myself, thank you.;x
EVTDESCA_ZE_13051;The more I think about it, the more I see that fairness and justice are things worth striving for.;x
EVTDESCB_ZE_13051;The world is full of things that make me angry.;x
EVTDESCC_ZE_13051;The more I think about it, the more I see how things are wrongfully denied me.;x
EVTOPTA_ZE_13051;It's what separates us from the wild beasts.;x
EVTOPTB_ZE_13051;I can't stand it sometimes!;x
EVTOPTC_ZE_13051;It should all be mine.;x
EVTDESCA_ZE_13052;Young [From.GetFirstName] seems to think a lot about justice, fairness and righting the many wrongs in the world.;x
EVTDESCB_ZE_13052;I have noticed that young [From.GetFirstName] seems to carry a lot of anger around.;x
EVTDESCC_ZE_13052;Young [From.GetFirstName] seems to be envious of everything and everyone.;x
EVTOPTA_ZE_13052;[From.GetSheHeCap] should learn temperance.;x
EVTOPTB_ZE_13052;I should resist the temptation to intervene.;x
brooding_may_become_temperate;Chance of [From.GetFirstName] becoming Temperate.;x
EVTDESCA_ZE_13054;[From.GetTitledFirstName] thinks I should not speak so much of righting the wrongs of others.;x
EVTDESCB_ZE_13054;[From.GetTitledFirstName] thinks I should learn to better temper my anger.;x
EVTDESCC_ZE_13054;[From.GetTitledFirstName] thinks I should learn to temper my envy.;x
EVTOPTA_ZE_13054;[From.GetSheHeCap] is right, I should calm down.;x
EVTOPTB_ZE_13054;It would be wrong to not care!;x
EVTOPTC_ZE_13054;I don't care what that [GetRootFromInsult] thinks!;x
EVTOPTD_ZE_13054;That's easy for [From.GetHerHim] to say!;x
EVTDESCA_ZE_13061;I don't need many things - I can share what I have.;x
EVTDESCB_ZE_13061;There are so many things in the world that are just not worth expending energy on.;x
EVTDESCC_ZE_13061;I find there is nothing that pleases me so much as just sitting down for hours, eating.;x
EVTOPTA_ZE_13061;It's not worth the effort accumulating things anyway.;x
EVTOPTB_ZE_13061;It's true of almost everyhing, really.;x
EVTOPTC_ZE_13061;It is truly the ultimate good in life.;x
EVTDESCA_ZE_13062;Young [From.GetFirstName] seems to always be willing to share.;x
EVTDESCB_ZE_13062;Young [From.GetFirstName] seems to be showing more and more signs of laziness.;x
EVTDESCC_ZE_13062;Young [From.GetFirstName] never stops eating, always staying longer than anyone at the table.;x
EVTOPTA_ZE_13062;[From.GetSheHeCap] should get out more and talk to people.;x
EVTOPTB_ZE_13062;Ah, the young will be as they are!;x
indolent_may_become_gregarious;Chance of [From.GetFirstName] becoming Gregarious.;x
EVTDESCA_ZE_13064;[From.GetTitledFirstName] says I should talk more to people, give them more of myself.;x
EVTDESCB_ZE_13064;[From.GetTitledFirstName] thinks I should get out more and talk to people.;x
EVTDESCC_ZE_13064;[From.GetTitledFirstName] thinks I spend too much time eating and should pause to converse once in a while.;x
EVTOPTA_ZE_13064;Very well, I'll make the effort!;x
EVTOPTB_ZE_13064;I'd rather give them my things.;x
EVTOPTC_ZE_13064;Why bother?;x
EVTOPTD_ZE_13064;I'd rather not talk with food in my mouth.;x
EVTDESCA_ZE_13071;I've always loved playing with others - and I still do!;x
EVTDESCB_ZE_13071;I love fun and games, but the best game of all is the one of tricking people into doing things for me.;x
EVTDESCC_ZE_13071;Playing games and pranks is the best fun! I do think I never want to grow up.;x
EVTOPTA_ZE_13071;And people seem to like me.;x
EVTOPTB_ZE_13071;I pull the strings.;x
EVTOPTC_ZE_13071;The world is made of pixie dust!;x
EVTDESCA_ZE_13072;Young [From.GetFirstName] seems to have a natural charm and way with words.;x
EVTDESCB_ZE_13072;Young [From.GetFirstName] seems to be developing a rather devious and manipulative streak.;x
EVTDESCC_ZE_13072;Young [From.GetFirstName] seems to often react in erratic and strange ways in perfectly everyday situations. There is something not quite right there...;x
EVTOPTA_ZE_13072;I shall beat it out of [From.GetHerHim]!;x
EVTOPTB_ZE_13072;I'm sure [From.GetSheHe] will suffer in life.;x
playful_may_become_cruel;Chance of [From.GetFirstName] becoming Cruel.;x
EVTDESCA_ZE_13074;[From.GetTitledFirstName] does not approve of my open and talkative nature and decided to beat it out of me.;x
EVTDESCB_ZE_13074;[From.GetTitledFirstName] does not approve of my cleverness and cunning and decided to beat it out of me.;x
EVTDESCC_ZE_13074;[From.GetTitledFirstName] thinks I am too 'strange' and decided to beat it out of me.;x
EVTOPTA_ZE_13074;One day I'll do the same unto others.;x
EVTOPTB_ZE_13074;I'll speak of [From.GetHerHis] cruelty to everyone!;x
EVTOPTC_ZE_13074;I'll let [From.GetHerHim] think it's working.;x
EVTOPTD_ZE_13074;But I was invisible the whole time.;x
EVTDESCA_ZE_13081;I've always been one to finish my chores properly. And those of others.;x
EVTDESCB_ZE_13081;It's important to do things right, which includes not doing them too much.;x
EVTOPTA_ZE_13081;I just like getting things done.;x
EVTOPTB_ZE_13081;Self-control is the first step to greatness.;x
EVTDESCA_ZE_13082;Young [From.GetFirstName] is full of energy and a will to get things done.;x
EVTDESCB_ZE_13082;Young [From.GetFirstName] is impressing everyone with [From.GetHerHis] sensible choices and great capacity for self-restraint.;x
EVTOPTA_ZE_13082;[From.GetSheHeCap] should use that power for good.;x
EVTOPTB_ZE_13082;Life will reward [From.GetHerHim].;x
conscientious_may_become_just;Chance of [From.GetFirstName] becoming Just.;x
EVTDESCA_ZE_13084;[From.GetTitledFirstName] thinks I should employ my considerable energies toward just causes.;x
EVTDESCB_ZE_13084;[From.GetTitledFirstName] commends me on my temperance and wisdom and wishes that I employ it in the service of just causes.;x
EVTOPTA_ZE_13084;Sage advice.;x
EVTOPTB_ZE_13084;I already know what I want to do.;x
EVTOPTC_ZE_13084;It's not wise to be overly zealous.;x
EVTDESCA_ZE_13091;I love it when everything is in good order, and I'm willing to spend the time that it takes.;x
EVTDESCB_ZE_13091;I love keeping an eye on things, and I love counting them. Coins especially.;x
EVTDESCC_ZE_13091;I know how things should be done, but I fear others are always trying to sabotage my efforts.;x
EVTOPTA_ZE_13091;One shouldn't rush things needlessly.;x
EVTOPTB_ZE_13091;They are so shiny.;x
EVTOPTC_ZE_13091;I must be wary of their envy.;x
EVTDESCA_ZE_13092;Young [From.GetFirstName] loves keeping [From.GetHerHis] things in order and patiently spends lots of time on it.;x
EVTDESCB_ZE_13092;Young [From.GetFirstName] seems to love ordering and counting things, coins especially.;x
EVTDESCC_ZE_13092;Young [From.GetFirstName] loves doing things [From.GetHerHis] own way, and often takes it personally and gets angry when others offer opinions.;x
EVTOPTA_ZE_13092;I should help guide [From.GetHerHim] in the right direction.;x
EVTOPTB_ZE_13092;[From.GetSheHeCap] is a busy soul, just like me.;x
fussy_may_become_diligent;Chance of [From.GetFirstName] becoming Diligent.;x
EVTDESCA_ZE_13094;[From.GetTitledFirstName] approves of my patient diligence but thinks I should be even more focused on the results of my efforts.;x
EVTDESCB_ZE_13094;[From.GetTitledFirstName] approves of my active mind but thinks I spend too much time thinking about gold and silver.;x
EVTDESCC_ZE_13094;[From.GetTitledFirstName] says it's good that I have my own strong ideas, but [From.GetSheHe] wants me to focus more on the results of my actions than on worrying about the envy of others.;x
EVTOPTA_ZE_13094;I should be more like [From.GetHerHim].;x
EVTOPTB_ZE_13094;Now, don't be hasty, [From.GetLordLady] [From.GetFirstName].;x
EVTOPTC_ZE_13094;But gold is so pretty!;x
EVTOPTD_ZE_13094;But they hate me!;x
EVTDESCA_ZE_13101;Thinking about things, I have concluded that everything in the world is not as the priests say it is.;x
EVTDESCB_ZE_13101;There are people I know that follow different traditions than those of the [Root.Religion.GetName] faith. I have spoken to them and asked them about it, and now it doesn't seem so strange to me.;x
EVTDESCC_ZE_13101;I spend a lot of time exploring and thinking about how things work..;x
EVTOPTA_ZE_13101;They are all liars!;x
EVTOPTB_ZE_13101;We are all the same, I guess.;x
EVTOPTC_ZE_13101;It feels great to learn!;x
EVTDESCA_ZE_13102;Young [From.GetFirstName] seems to have a lot of independent opinions and refuses to listen to the priests.;x
EVTDESCB_ZE_13102;Young [From.GetFirstName] seems to be taking a curious interest in other traditions than the [From.Religion.GetName] ones.;x
EVTDESCC_ZE_13102;Young [From.GetFirstName] seems to be a real explorer and experimenter, constantly finding new ideas and topics that fascinate [From.GetHerHim].;x
EVTOPTA_ZE_13102;I should try to stop these tendencies..;x
#EVTOPTB_ZE_13102;[From.GetBoyGirl]s will be [From.GetBoyGirl]s.;x
curious_may_become_patient;Chance of [From.GetFirstName] becoming Patient.;x
EVTDESCA_ZE_13104;[From.GetTitledFirstName] thinks I should be less quick to question the words of the priests.;x
EVTDESCB_ZE_13104;I love studying foreign customs, but [From.GetTitledFirstName] thinks I should look to my own virtues instead.;x
EVTDESCC_ZE_13104;[From.GetTitledFirstName] seems to think I'm too clever for my own good, or so [From.GetSheHe] said.;x
EVTOPTA_ZE_13104;[From.GetSheHe] is right, I should calm down.;x
EVTOPTB_ZE_13104;But they are fools!;x
EVTOPTC_ZE_13104;Is [From.GetSheHe] not interested in the world at all?;x
EVTOPTD_ZE_13104;Too clever for [From.GetHerHim], maybe.;x
EVTDESCA_ZE_13111;As I grow older, I increasingly find that my faith is a true fountain of strength.;x
EVTDESCB_ZE_13111;The more I hear of the words of the wise [Root.GetMenWomen] of old, the more I want to be like them.;x
EVTDESCC_ZE_13111;It gives me great joy to admire the achievements of others. Especially as I am so weak myself.;x
EVTOPTA_ZE_13111;And I praise [Root.Religion.GetRandomGodName]!;x
EVTOPTB_ZE_13111;Only from knowledge comes true strength.;x
EVTOPTC_ZE_13111;They strike me with awe.;x
EVTDESCA_ZE_13112;Young [From.GetFirstName] seems to be developing very strong religious sentiments.;x
EVTDESCB_ZE_13112;Young [From.GetFirstName] often speaks in reverence of the wise [From.GetMenWomen] of old, saying [From.GetSheHe] wants to be like them.;x
EVTDESCC_ZE_13112;Young [From.GetFirstName] seems to be quick to praise the deeds of others around [From.GetHerHim], while neglecting [From.GetHerHis] own physical activity and development.;x
EVTOPTA_ZE_13112;[From.GetSheHeCap] should focus on helping others instead.;x
EVTOPTB_ZE_13112;What a lovely child!;x
idolizer_may_become_kind;Chance of [From.GetFirstName] becoming Kind.;x
EVTDESCA_ZE_13114;[From.GetTitledFirstName] seems to think that I should replace my reverence for [Root.Religion.GetRandomGodName] with love for my fellow man.;x
EVTDESCB_ZE_13114;I worship the memory of the wise [From.GetMenWomen] of old, but [From.GetTitledFirstName] thinks that I should focus on loving the living around me instead.;x
EVTDESCC_ZE_13114;I easily adore the virtues of others, but [From.GetTitledFirstName] thinks I'm too passive and should should focus more on helping people, lest I grow weak.;x
EVTOPTA_ZE_13114;[From.GetSheHeCap] is right.;x
EVTOPTB_ZE_13114;No, [Root.Religion.GetRandomGodName] is the greatest!;x
EVTOPTC_ZE_13114;I shall love them when they have something interesting to say.;x
EVTOPTD_ZE_13114;I'm fine.;x
EVTDESCA_ZE_14100;I have finished my education in diplomacy. I found the lessons rather tedious.;x
EVTDESCB_ZE_14100;I have finished my education in diplomacy. It is a fascinating subject.;x
EVTDESCC_ZE_14100;I have finished my education in diplomacy. I find that I have some talent for it.;x
EVTDESCD_ZE_14100;I have finished my education in diplomacy. I feel that I have truly found my calling.;x
EVTOPTA_ZE_14100;Speak frankly and all will love you.;x
EVTOPTB_ZE_14100;Never hate your enemies. It affects your judgment.;x
EVTOPTC_ZE_14100;Speak softly and carry a big stick.;x
EVTOPTD_ZE_14100;The best way to keep one's word is to not give it.;x
EVTDESCA_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It turned out less well than expected.;x
EVTDESCB_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It seems [From.GetSheHe] has learned all the basic skills required.;x
EVTDESCC_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.;x
EVTDESCD_ZE_14110;Young [From.GetFirstName] has finished [From.GetHerHis] education in diplomacy. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.;x
EVTOPTA_ZE_14110;Oh well.;x
EVTOPTB_ZE_14110;Very good.;x
EVTOPTC_ZE_14110;This pleases me.;x
EVTDESCA_ZE_14200;I have finished my education in the ways of war. I found the lessons rather tedious.;x
