#CODE;RUSSIAN;x
ASK_REALM_PEACE_INTERACTION_TITLE;Попросить о мире внутри страны;x
ASK_REALM_PEACE_INTERACTION_DESC;Напомнить сюзерену об §Yуслуге§!, чтобы попросить установить §Yмир внутри страны§!.;x
ASK_REALM_PEACE_INTERACTION_LONG_DESC;§Y[Recipient.GetTitledFirstName]§! перед Вами в долгу. В качестве §Yуслуги§! с [Recipient.GetHersHis] стороны Вы можете попросить установить §Yмир внутри страны§!.;x
ASK_REALM_PEACE_INTERACTION_LETTER;\nПришло время для ответной услуги с Вашей стороны - я прошу Вас установить мир внутри страны.;x
ASK_REALM_PEACE_INTERACTION_LETTER_GET;\nУстановите мир внутри страны.;x
ASK_REALM_PEACE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! воспользова[Actor.GetLasLsya] тем, что §Y[Recipient.GetBestName]§! - [Actor.GetHersHis] должни[Recipient.GetTsaK], вынудив установить §Yмир внутри страны§!.;x
ASK_COUNCIL_POSITION_INTERACTION_TITLE;Потребовать пост в Совете;x
ASK_COUNCIL_POSITION_INTERACTION_DESC;Напомнить сюзерену об §Yуслуге§! и попросить пост в §YСовете§!.;x
ASK_COUNCIL_POSITION_INTERACTION_LONG_DESC;§Y[Recipient.GetTitledFirstName]§! перед Вами в долу и в качестве §Yуслуги§! с [Recipient.GetHersHis] стороны, Вы можете попросить у н[Recipient.GetHersHis] пост в §YСовете§!.;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER;\nПришло время для ответной услуги с Вашей стороны - я хочу пост в Совете.;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER_GET;\nДайте мне пост в Совете.;x
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! воспользова[Actor.GetLasLsya] тем, что §Y[Recipient.GetBestName]§! - [Actor.GetHersHis] должни[Recipient.GetTsaK], чтобы получить место в Совете.;x #$POSITION|Y$ $FIRED$
COUNCIL_POSITION_FIRED;, $FIRED|Y$ теряет свой пост.;x
coerced_into_council_position;Заставил меня дать пост в Совете;x
DEMAND_POSITION_MUST_HAVE_POSITIONS;Убедитесь, что $RECIPIENT|Y$ обладает местами в §YСовете§!, которые $ACTOR|Y$ может занять;x
DEMAND_POSITION_CAN_HOLD_POSITION;Убедитесь, что $ACTOR|Y$ может занимать позицию $POSITION|Y$§Yа§! в Совете правителя, известного как $RECIPIENT|Y$;x
DEMAND_POSITION_MUST_CHOOSE_POSITION;Убедитесь, что $ACTOR|Y$ знает какой пост в §YСовете§! хочет занять, прежде чем $RECIPIENT|Y$ даст свой ответ;x
#EVTDESC526;I demand that you grant me a position on your council, in return for the favor you owe me.;x
EVTDESC527;[From.GetTitledFirstName] пользуясь тем, что [This.GetTitledFirstName] - [From.GetHersHis] должни[This.GetTsaK], требует для себя место в Совете, но в ответ получает отказ.;x
EVTDESC528;[From.GetTitledFirstName] воспользова[From.GetLasLsya] тем, что [This.GetTitledFirstName] - [From.GetHersHis] должни[This.GetTsaK] и вынудил[From.GetEndA] установить мир внутри страны.;x
EVTDESC529;[From.GetTitledFirstName] пользуясь тем, что [This.GetTitledFirstName] - [From.GetHersHis] должни[This.GetTsaK], требует установить мир внутри страны, но в ответ получает отказ.;x
EVTDESC530;[From.GetTitledFirstName] воспользова[From.GetLasLsya] тем, что [This.GetTitledFirstName] - [From.GetHersHis] должни[This.GetTsaK], и вынудил[From.GetEndA] вступить в свои фракции.;x
EVTDESC531;[From.GetTitledFirstName] пользуясь тем, что [This.GetTitledFirstName] - [From.GetHersHis] должни[This.GetTsaK], требует вступить в свои фракции, но в ответ получает отказ.;x
HAS_FACTION_TO_JOIN;$ACTOR|Y$ возглавляет хотя бы одну §Yфракцию§!;x
KINGDOM_LAW_DESC_CONCLAVE;Законы Короны могут быть приняты только королями или императорами. Они касаются всего, что находится в пределах (де-факто) Королевства или Империи.;x
CAN_ENFORCE_PEACE;§YМир внутри страны§! может быть установлен;x
TOOLTIP_SoA_5357;Этот вариант доступен благодаря Вашей §Yпохоти§! и §Yцинизму§!, а также высокому навыку §YИнтрига§!\n;x
AIREASON_IS_A_THREAT;Это несёт угрозу;x
stutter_desc;Эт[GetEtaEtot] [GetAgedPerson] - заикается, что мешает [GetHersHis] способности к эффективному общению.;x
EVTDESC1690;Я стану лучшим из правителей, когда вырасту!;x
council_war_off_custom; члены Совета могут свободно вступать во фракции.\n;x
council_war_on_custom; члены Совета могут вступать во фракции только, когда Совет выражает §Rнедовольство§!. Предствители племенных и кочевых общин всегда могут вступать во фракции.;x
CROWN_LAW_CHANGE_TIMEOUT;§RСовет недавно отклонил введение нового закона Короны. Вы можете попытаться снова не раньше чем $DATE$§!;x
ALLOW_MATRILINEAL_MARRIAGE_ON;Разрешает матрилинейные браки\n;x
ALLOW_MATRILINEAL_MARRIAGE_OFF;Запрещает матрилинейные браки\n;x
LANDED_TITLE_BEING_CREATED;Создан титул: $TITLE$;x
#FORM_NON_AGGRESSION_PACT_INTERACTION_TITLE;Обсудить пакт о ненападении;x
FORM_NON_AGGRESSION_PACT_INTERACTION_DESC;Предложить пакт о ненападении. Стороны соглашения: §Y[Actor.GetBestName]§! и §Y[Recipient.GetBestName]§!.;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LONG_DESC;Если династические связи достаточно близки, Вы можете предложить пакт о ненападении.;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER;\nЯ предлагаю пакт о ненападении между нами.;x
FORM_NON_AGGRESSION_PACT_INTERACTION_LETTER_GET;\nДавайте подпишем пакт о ненападении.;x
FORM_NON_AGGRESSION_PACT_INTERACTION_REQ;Убедитесь, что §Y[Actor.GetBestName]§! и §Y[Recipient.GetBestName]§! могут сформировать пакт о ненападении;x
FORM_NON_AGGRESSION_PACT_INTERACTION_REJECTED_REQ;Убедитесь, что §Y[Recipient.GetBestName]§! НЕ отвергает возможность пакта о ненападении  между вами (не было отказа в последнее время);x #§Y[Actor.GetBestName]§!
EVTDESC524;Я, [From.GetBestName], принимаю Ваше предложение сформировать пакт о ненападении между нами.;x
EVTDESC525;Я, [From.GetBestName], к сожалению не могу поддержать Ваш пакт о ненападении.;x
EVTOPTA524;Мудрый выбор.;x
EVTOPTA525;Эт[From.GetEtaEtot] [GetRootFromInsult] явно что-то замышляет!;x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_NOTIFICATION;$COUNCILOR$ принимает новый закон - $LAW$ ($TITLE$);x
VOTE_AS_FAVOR_OWNER_SETUP;Голосование согласно уговору (услуга за услугу);x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_SETUP;Советник продвигает новый закон в государстве, используя кулуарные договоренности;x
COUNCILOR_LAW_CHANGE_IN_LIEGE_REALM_LOG;$COUNCILOR|Y$ вынуждает Вас голосовать за принятие закона $LAW|Y$ ($TITLE|Y$) в качестве §Yуслуги§! согласно уговору.;x
ALLIANCE_BROKEN_SETUP;Альянс расторгнут;x
ALLIANCE_BROKEN_LOG;$CHAR$ и $ALLY$ разорвали альянс;x
VOTE_AS_REQUESTOR_LOG;$CHARACTER|Y$ голосует $VOTE$ закон ($LAW|Y$), поскольку $REQUESTOR$ требует поддержку.;x
VOTE_AS_REQUESTOR_SETUP;Голосование, как того требует тот, кто просит поддержки;x
ConclaveDLC;Conclave (дополнение);x
UNDECIDED;Undecided;Indйcision;Unentschieden;;Indeciso;;;;;;;;;x;
LOWER_RELATIVE_POWER_WITH_ALLIES;Численность союзных войск составляет меньше чем $VAL|Y%$ от союзной армии противника ($OTHER|Y$).;x
HIGHER_RELATIVE_POWER_WITH_ALLIES;Численность союзных войск составляет НЕ меньше чем $VAL|Y%$ от союзной армии противника ($OTHER|Y$).;x
#INTERACTION_COALITION_REQUIRES_INFAMY_LIMIT;Убедитесь, что §Y[Recipient.GetTitledFirstName]§! имеет по меньшей мере $NUM|Y$% дурной славы.;x
#COALITION_SIZE;Дурная слава: $INFAMY|Y$/$LIMIT|Y$;x
FAVOR_INVITE;Вынудить к согласию принять просьбу о присоединении ко двору;x
FAVOR_JOIN_WAR;Вынудить к согласию принять призыв к оружию;x
FAVOR_EMBARGO;Вынудить к согласию принять просьбу о введении эмбарго;x
FAVOR_JOIN_FACTION;Вынудить кого-либо вступить в Ваши фракции;x
FAVOR_COUNCIL_POSITION;Вынудить сюзерена предоставить место в Совете;x
FAVOR_PREVENT_ENFORCE_PEACE;Определить условия мира внутри страны вместо сюзерена;x
CALL_IN_FAVOR_INTERACTION_TITLE;Попросить поддержку в Совете;x
